日付,レース場,レース番号,舟券種,組合せ,払戻金
2025-04-02,芦屋,1,単勝,5,1020
2025-04-02,芦屋,1,複勝,5,1340
2025-04-02,芦屋,1,複勝,6,930
2025-04-02,芦屋,1,２連単,5-6,6050
2025-04-02,芦屋,1,２連複,5-6,2130
2025-04-02,芦屋,1,拡連複,5-6,1090
2025-04-02,芦屋,1,３連単,5-6-1,18500
2025-04-02,芦屋,1,３連複,1-5-6,1520
2025-04-02,芦屋,2,単勝,1,120
2025-04-02,芦屋,2,複勝,1,100
2025-04-02,芦屋,2,複勝,3,210
2025-04-02,芦屋,2,２連単,1-3,760
2025-04-02,芦屋,2,２連複,1-3,610
2025-04-02,芦屋,2,拡連複,1-3,230
2025-04-02,芦屋,2,３連単,1-3-2,1780
2025-04-02,芦屋,2,３連複,1-2-3,600
2025-04-02,芦屋,3,単勝,1,150
2025-04-02,芦屋,3,複勝,1,130
2025-04-02,芦屋,3,複勝,3,110
2025-04-02,芦屋,3,２連単,1-3,370
2025-04-02,芦屋,3,２連複,1-3,140
2025-04-02,芦屋,3,拡連複,1-3,110
2025-04-02,芦屋,3,３連単,1-3-5,630
2025-04-02,芦屋,3,３連複,1-3-5,180
2025-04-02,芦屋,4,単勝,1,120
2025-04-02,芦屋,4,複勝,1,100
2025-04-02,芦屋,4,複勝,4,200
2025-04-02,芦屋,4,２連単,1-4,320
2025-04-02,芦屋,4,２連複,1-4,260
2025-04-02,芦屋,4,拡連複,1-4,120
2025-04-02,芦屋,4,３連単,1-4-2,690
2025-04-02,芦屋,4,３連複,1-2-4,260
2025-04-02,芦屋,5,単勝,1,100
2025-04-02,芦屋,5,複勝,1,100
2025-04-02,芦屋,5,複勝,3,130
2025-04-02,芦屋,5,２連単,1-3,210
2025-04-02,芦屋,5,２連複,1-3,120
2025-04-02,芦屋,5,拡連複,1-3,100
2025-04-02,芦屋,5,３連単,1-3-2,730
2025-04-02,芦屋,5,３連複,1-2-3,400
2025-04-02,芦屋,6,単勝,2,340
2025-04-02,芦屋,6,複勝,2,190
2025-04-02,芦屋,6,複勝,1,140
2025-04-02,芦屋,6,２連単,2-1,900
2025-04-02,芦屋,6,２連複,1-2,240
2025-04-02,芦屋,6,拡連複,1-2,180
2025-04-02,芦屋,6,３連単,2-1-4,1430
2025-04-02,芦屋,6,３連複,1-2-4,270
2025-04-02,芦屋,7,単勝,3,950
2025-04-02,芦屋,7,複勝,3,370
2025-04-02,芦屋,7,複勝,1,130
2025-04-02,芦屋,7,２連単,3-1,3640
2025-04-02,芦屋,7,２連複,1-3,540
2025-04-02,芦屋,7,拡連複,1-3,260
2025-04-02,芦屋,7,３連単,3-1-6,47980
2025-04-02,芦屋,7,３連複,1-3-6,5150
2025-04-02,芦屋,8,単勝,2,250
2025-04-02,芦屋,8,複勝,2,130
2025-04-02,芦屋,8,複勝,3,190
2025-04-02,芦屋,8,２連単,2-3,910
2025-04-02,芦屋,8,２連複,2-3,790
2025-04-02,芦屋,8,拡連複,2-3,240
2025-04-02,芦屋,8,３連単,2-3-6,2750
2025-04-02,芦屋,8,３連複,2-3-6,1080
2025-04-02,芦屋,9,単勝,4,1240
2025-04-02,芦屋,9,複勝,4,670
2025-04-02,芦屋,9,複勝,1,100
2025-04-02,芦屋,9,２連単,4-1,6850
2025-04-02,芦屋,9,２連複,1-4,1080
2025-04-02,芦屋,9,拡連複,1-4,480
2025-04-02,芦屋,9,３連単,4-1-5,28380
2025-04-02,芦屋,9,３連複,1-4-5,2360
2025-04-02,芦屋,10,単勝,1,150
2025-04-02,芦屋,10,複勝,1,100
2025-04-02,芦屋,10,複勝,2,100
2025-04-02,芦屋,10,２連単,1-2,170
2025-04-02,芦屋,10,２連複,1-2,150
2025-04-02,芦屋,10,拡連複,1-2,100
2025-04-02,芦屋,10,３連単,1-2-5,1030
2025-04-02,芦屋,10,３連複,1-2-5,650
2025-04-02,芦屋,11,単勝,1,200
2025-04-02,芦屋,11,複勝,1,100
2025-04-02,芦屋,11,複勝,4,320
2025-04-02,芦屋,11,２連単,1-4,790
2025-04-02,芦屋,11,２連複,1-4,640
2025-04-02,芦屋,11,拡連複,1-4,180
2025-04-02,芦屋,11,３連単,1-4-2,1270
2025-04-02,芦屋,11,３連複,1-2-4,270
2025-04-02,芦屋,12,単勝,1,100
2025-04-02,芦屋,12,複勝,1,100
2025-04-02,芦屋,12,複勝,4,120
2025-04-02,芦屋,12,２連単,1-4,450
2025-04-02,芦屋,12,２連複,1-4,460
2025-04-02,芦屋,12,拡連複,1-4,220
2025-04-02,芦屋,12,３連単,1-4-3,1390
2025-04-02,芦屋,12,３連複,1-3-4,450
2025-04-02,徳山,1,単勝,1,110
2025-04-02,徳山,1,複勝,1,100
2025-04-02,徳山,1,複勝,4,270
2025-04-02,徳山,1,２連単,1-4,550
2025-04-02,徳山,1,２連複,1-4,760
2025-04-02,徳山,1,拡連複,1-4,190
2025-04-02,徳山,1,３連単,1-4-3,2020
2025-04-02,徳山,1,３連複,1-3-4,700
2025-04-02,徳山,2,単勝,2,640
2025-04-02,徳山,2,複勝,2,330
2025-04-02,徳山,2,複勝,1,110
2025-04-02,徳山,2,２連単,2-1,4060
2025-04-02,徳山,2,２連複,1-2,570
2025-04-02,徳山,2,拡連複,1-2,170
2025-04-02,徳山,2,３連単,2-1-5,9180
2025-04-02,徳山,2,３連複,1-2-5,710
2025-04-02,徳山,3,単勝,1,130
2025-04-02,徳山,3,複勝,1,100
2025-04-02,徳山,3,複勝,2,120
2025-04-02,徳山,3,２連単,1-2,200
2025-04-02,徳山,3,２連複,1-2,220
2025-04-02,徳山,3,拡連複,1-2,140
2025-04-02,徳山,3,３連単,1-2-6,2320
2025-04-02,徳山,3,３連複,1-2-6,1750
2025-04-02,徳山,4,単勝,1,120
2025-04-02,徳山,4,複勝,1,100
2025-04-02,徳山,4,複勝,2,250
2025-04-02,徳山,4,２連単,1-2,300
2025-04-02,徳山,4,２連複,1-2,220
2025-04-02,徳山,4,拡連複,1-2,130
2025-04-02,徳山,4,３連単,1-2-5,870
2025-04-02,徳山,4,３連複,1-2-5,440
2025-04-02,徳山,5,単勝,1,120
2025-04-02,徳山,5,複勝,1,100
2025-04-02,徳山,5,複勝,4,180
2025-04-02,徳山,5,２連単,1-4,410
2025-04-02,徳山,5,２連複,1-4,220
2025-04-02,徳山,5,拡連複,1-4,120
2025-04-02,徳山,5,３連単,1-4-3,640
2025-04-02,徳山,5,３連複,1-3-4,230
2025-04-02,徳山,6,単勝,1,100
2025-04-02,徳山,6,複勝,1,100
2025-04-02,徳山,6,複勝,3,230
2025-04-02,徳山,6,２連単,1-3,230
2025-04-02,徳山,6,２連複,1-3,280
2025-04-02,徳山,6,拡連複,1-3,150
2025-04-02,徳山,6,３連単,1-3-5,3180
2025-04-02,徳山,6,３連複,1-3-5,1790
2025-04-02,徳山,7,単勝,3,640
2025-04-02,徳山,7,複勝,3,340
2025-04-02,徳山,7,複勝,4,270
2025-04-02,徳山,7,２連単,3-4,3370
2025-04-02,徳山,7,２連複,3-4,1690
2025-04-02,徳山,7,拡連複,3-4,430
2025-04-02,徳山,7,３連単,3-4-2,16310
2025-04-02,徳山,7,３連複,2-3-4,2820
2025-04-02,徳山,8,単勝,1,110
2025-04-02,徳山,8,複勝,1,110
2025-04-02,徳山,8,複勝,4,230
2025-04-02,徳山,8,２連単,1-4,300
2025-04-02,徳山,8,２連複,1-4,300
2025-04-02,徳山,8,拡連複,1-4,160
2025-04-02,徳山,8,３連単,1-4-2,760
2025-04-02,徳山,8,３連複,1-2-4,270
2025-04-02,徳山,9,単勝,1,130
2025-04-02,徳山,9,複勝,1,100
2025-04-02,徳山,9,複勝,2,480
2025-04-02,徳山,9,２連単,1-2,350
2025-04-02,徳山,9,２連複,1-2,220
2025-04-02,徳山,9,拡連複,1-2,130
2025-04-02,徳山,9,３連単,1-2-4,1400
2025-04-02,徳山,9,３連複,1-2-4,710
2025-04-02,徳山,10,単勝,3,780
2025-04-02,徳山,10,複勝,3,170
2025-04-02,徳山,10,複勝,1,100
2025-04-02,徳山,10,２連単,3-1,1090
2025-04-02,徳山,10,２連複,1-3,140
2025-04-02,徳山,10,拡連複,1-3,120
2025-04-02,徳山,10,３連単,3-1-4,2730
2025-04-02,徳山,10,３連複,1-3-4,320
2025-04-02,徳山,11,単勝,1,120
2025-04-02,徳山,11,複勝,1,100
2025-04-02,徳山,11,複勝,4,240
2025-04-02,徳山,11,２連単,1-4,490
2025-04-02,徳山,11,２連複,1-4,490
2025-04-02,徳山,11,拡連複,1-4,150
2025-04-02,徳山,11,３連単,1-4-2,910
2025-04-02,徳山,11,３連複,1-2-4,200
2025-04-02,徳山,12,単勝,1,130
2025-04-02,徳山,12,複勝,1,100
2025-04-02,徳山,12,複勝,4,100
2025-04-02,徳山,12,２連単,1-4,340
2025-04-02,徳山,12,２連複,1-4,360
2025-04-02,徳山,12,拡連複,1-4,160
2025-04-02,徳山,12,３連単,1-4-2,1100
2025-04-02,徳山,12,３連複,1-2-4,470
2025-04-02,丸亀,1,単勝,1,100
2025-04-02,丸亀,1,複勝,1,130
2025-04-02,丸亀,1,複勝,2,210
2025-04-02,丸亀,1,２連単,1-2,510
2025-04-02,丸亀,1,２連複,1-2,330
2025-04-02,丸亀,1,拡連複,1-2,320
2025-04-02,丸亀,1,３連単,1-2-3,1070
2025-04-02,丸亀,1,３連複,1-2-3,240
2025-04-02,丸亀,2,単勝,1,180
2025-04-02,丸亀,2,複勝,1,150
2025-04-02,丸亀,2,複勝,5,290
2025-04-02,丸亀,2,２連単,1-5,950
2025-04-02,丸亀,2,２連複,1-5,390
2025-04-02,丸亀,2,拡連複,1-5,260
2025-04-02,丸亀,2,３連単,1-5-3,2380
2025-04-02,丸亀,2,３連複,1-3-5,550
2025-04-02,丸亀,3,単勝,2,540
2025-04-02,丸亀,3,複勝,2,340
2025-04-02,丸亀,3,複勝,4,260
2025-04-02,丸亀,3,２連単,2-4,2250
2025-04-02,丸亀,3,２連複,2-4,1060
2025-04-02,丸亀,3,拡連複,2-4,200
2025-04-02,丸亀,3,３連単,2-4-1,2360
2025-04-02,丸亀,3,３連複,1-2-4,160
2025-04-02,丸亀,4,単勝,1,130
2025-04-02,丸亀,4,複勝,1,130
2025-04-02,丸亀,4,複勝,5,380
