日付,レース場,レース番号,舟券種,組合せ,払戻金
2020-02-15,唐津,1,単勝,1,110
2020-02-15,唐津,1,複勝,1,100
2020-02-15,唐津,1,複勝,3,430
2020-02-15,唐津,1,２連単,1-3,460
2020-02-15,唐津,1,２連複,1-3,350
2020-02-15,唐津,1,拡連複,1-3,190
2020-02-15,唐津,1,３連単,1-3-2,1580
2020-02-15,唐津,1,３連複,1-2-3,570
2020-02-15,唐津,2,単勝,1,130
2020-02-15,唐津,2,複勝,1,120
2020-02-15,唐津,2,複勝,4,700
2020-02-15,唐津,2,２連単,1-4,1620
2020-02-15,唐津,2,２連複,1-4,840
2020-02-15,唐津,2,拡連複,1-4,430
2020-02-15,唐津,2,３連単,1-4-3,5340
2020-02-15,唐津,2,３連複,1-3-4,1280
2020-02-15,唐津,3,単勝,1,140
2020-02-15,唐津,3,複勝,1,150
2020-02-15,唐津,3,複勝,2,270
2020-02-15,唐津,3,２連単,1-2,470
2020-02-15,唐津,3,２連複,1-2,420
2020-02-15,唐津,3,拡連複,1-2,210
2020-02-15,唐津,3,３連単,1-2-4,1120
2020-02-15,唐津,3,３連複,1-2-4,440
2020-02-15,唐津,4,単勝,2,310
2020-02-15,唐津,4,複勝,2,230
2020-02-15,唐津,4,複勝,3,260
2020-02-15,唐津,4,２連単,2-3,1420
2020-02-15,唐津,4,２連複,2-3,1150
2020-02-15,唐津,4,拡連複,2-3,440
2020-02-15,唐津,4,３連単,2-3-5,6550
2020-02-15,唐津,4,３連複,2-3-5,1760
2020-02-15,唐津,5,単勝,3,990
2020-02-15,唐津,5,複勝,3,480
2020-02-15,唐津,5,複勝,1,200
2020-02-15,唐津,5,２連単,3-1,4850
2020-02-15,唐津,5,２連複,1-3,740
2020-02-15,唐津,5,拡連複,1-3,380
2020-02-15,唐津,5,３連単,3-1-6,25050
2020-02-15,唐津,5,３連複,1-3-6,4160
2020-02-15,唐津,6,単勝,2,570
2020-02-15,唐津,6,複勝,2,200
2020-02-15,唐津,6,複勝,1,100
2020-02-15,唐津,6,２連単,2-1,1990
2020-02-15,唐津,6,２連複,1-2,410
2020-02-15,唐津,6,拡連複,1-2,190
2020-02-15,唐津,6,３連単,2-1-4,6570
2020-02-15,唐津,6,３連複,1-2-4,940
2020-02-15,唐津,7,単勝,1,200
2020-02-15,唐津,7,複勝,1,130
2020-02-15,唐津,7,複勝,3,200
2020-02-15,唐津,7,２連単,1-3,500
2020-02-15,唐津,7,２連複,1-3,410
2020-02-15,唐津,7,拡連複,1-3,180
2020-02-15,唐津,7,３連単,1-3-6,1300
2020-02-15,唐津,7,３連複,1-3-6,500
2020-02-15,唐津,8,単勝,3,500
2020-02-15,唐津,8,複勝,3,270
2020-02-15,唐津,8,複勝,6,450
2020-02-15,唐津,8,２連単,3-6,1740
2020-02-15,唐津,8,２連複,3-6,1510
2020-02-15,唐津,8,拡連複,3-6,300
2020-02-15,唐津,8,３連単,3-6-4,11500
2020-02-15,唐津,8,３連複,3-4-6,3810
2020-02-15,唐津,9,単勝,1,180
2020-02-15,唐津,9,複勝,1,160
2020-02-15,唐津,9,複勝,2,170
2020-02-15,唐津,9,２連単,1-2,220
2020-02-15,唐津,9,２連複,1-2,220
2020-02-15,唐津,9,拡連複,1-2,200
2020-02-15,唐津,9,３連単,1-2-3,1370
2020-02-15,唐津,9,３連複,1-2-3,600
2020-02-15,唐津,10,単勝,3,290
2020-02-15,唐津,10,複勝,3,100
2020-02-15,唐津,10,複勝,1,110
2020-02-15,唐津,10,２連単,3-1,390
2020-02-15,唐津,10,２連複,1-3,130
2020-02-15,唐津,10,拡連複,1-3,120
2020-02-15,唐津,10,３連単,3-1-5,1040
2020-02-15,唐津,10,３連複,1-3-5,350
2020-02-15,唐津,11,単勝,2,660
2020-02-15,唐津,11,複勝,2,200
2020-02-15,唐津,11,複勝,1,100
2020-02-15,唐津,11,２連単,2-1,1480
2020-02-15,唐津,11,２連複,1-2,300
2020-02-15,唐津,11,拡連複,1-2,180
2020-02-15,唐津,11,３連単,2-1-4,4980
2020-02-15,唐津,11,３連複,1-2-4,660
2020-02-15,唐津,12,単勝,1,110
2020-02-15,唐津,12,複勝,1,100
2020-02-15,唐津,12,複勝,2,180
2020-02-15,唐津,12,２連単,1-2,290
2020-02-15,唐津,12,２連複,1-2,250
2020-02-15,唐津,12,拡連複,1-2,130
2020-02-15,唐津,12,３連単,1-2-3,980
2020-02-15,唐津,12,３連複,1-2-3,490
2020-02-15,芦屋,1,単勝,1,110
2020-02-15,芦屋,1,複勝,1,100
2020-02-15,芦屋,1,複勝,3,390
2020-02-15,芦屋,1,２連単,1-3,840
2020-02-15,芦屋,1,２連複,1-3,790
2020-02-15,芦屋,1,拡連複,1-3,300
2020-02-15,芦屋,1,３連単,1-3-2,2670
2020-02-15,芦屋,1,３連複,1-2-3,690
2020-02-15,芦屋,2,単勝,1,120
2020-02-15,芦屋,2,複勝,1,100
2020-02-15,芦屋,2,複勝,3,180
2020-02-15,芦屋,2,２連単,1-3,200
2020-02-15,芦屋,2,２連複,1-3,240
2020-02-15,芦屋,2,拡連複,1-3,110
2020-02-15,芦屋,2,３連単,1-3-4,400
2020-02-15,芦屋,2,３連複,1-3-4,140
2020-02-15,芦屋,3,単勝,1,100
2020-02-15,芦屋,3,複勝,1,100
2020-02-15,芦屋,3,複勝,5,370
2020-02-15,芦屋,3,２連単,1-5,1070
2020-02-15,芦屋,3,２連複,1-5,770
2020-02-15,芦屋,3,拡連複,1-5,320
2020-02-15,芦屋,3,３連単,1-5-2,4220
2020-02-15,芦屋,3,３連複,1-2-5,1250
2020-02-15,芦屋,4,単勝,1,110
2020-02-15,芦屋,4,複勝,1,100
2020-02-15,芦屋,4,複勝,2,120
2020-02-15,芦屋,4,２連単,1-2,210
2020-02-15,芦屋,4,２連複,1-2,210
2020-02-15,芦屋,4,拡連複,1-2,110
2020-02-15,芦屋,4,３連単,1-2-4,380
2020-02-15,芦屋,4,３連複,1-2-4,200
2020-02-15,芦屋,5,単勝,1,160
2020-02-15,芦屋,5,複勝,1,110
2020-02-15,芦屋,5,複勝,3,300
2020-02-15,芦屋,5,２連単,1-3,740
2020-02-15,芦屋,5,２連複,1-3,830
2020-02-15,芦屋,5,拡連複,1-3,250
2020-02-15,芦屋,5,３連単,1-3-5,5160
2020-02-15,芦屋,5,３連複,1-3-5,3980
2020-02-15,芦屋,6,単勝,1,160
2020-02-15,芦屋,6,複勝,1,160
2020-02-15,芦屋,6,複勝,3,140
2020-02-15,芦屋,6,２連単,1-3,520
2020-02-15,芦屋,6,２連複,1-3,520
2020-02-15,芦屋,6,拡連複,1-3,230
2020-02-15,芦屋,6,３連単,1-3-4,3020
2020-02-15,芦屋,6,３連複,1-3-4,1390
2020-02-15,芦屋,7,単勝,2,630
2020-02-15,芦屋,7,複勝,2,120
2020-02-15,芦屋,7,複勝,1,100
2020-02-15,芦屋,7,２連単,2-1,930
2020-02-15,芦屋,7,２連複,1-2,200
2020-02-15,芦屋,7,拡連複,1-2,120
2020-02-15,芦屋,7,３連単,2-1-4,1700
2020-02-15,芦屋,7,３連複,1-2-4,250
2020-02-15,芦屋,8,単勝,1,100
2020-02-15,芦屋,8,複勝,1,100
2020-02-15,芦屋,8,複勝,3,110
2020-02-15,芦屋,8,２連単,1-3,210
2020-02-15,芦屋,8,２連複,1-3,210
2020-02-15,芦屋,8,拡連複,1-3,100
2020-02-15,芦屋,8,３連単,1-3-2,460
2020-02-15,芦屋,8,３連複,1-2-3,200
2020-02-15,芦屋,9,単勝,4,3890
2020-02-15,芦屋,9,複勝,4,370
2020-02-15,芦屋,9,複勝,1,100
2020-02-15,芦屋,9,２連単,4-1,5680
2020-02-15,芦屋,9,２連複,1-4,770
2020-02-15,芦屋,9,拡連複,1-4,210
2020-02-15,芦屋,9,３連単,4-1-5,17580
2020-02-15,芦屋,9,３連複,1-4-5,1110
2020-02-15,芦屋,10,単勝,1,100
2020-02-15,芦屋,10,複勝,1,180
2020-02-15,芦屋,10,複勝,5,530
2020-02-15,芦屋,10,２連単,1-5,1400
2020-02-15,芦屋,10,２連複,1-5,950
2020-02-15,芦屋,10,拡連複,1-5,270
2020-02-15,芦屋,10,３連単,1-5-4,6400
2020-02-15,芦屋,10,３連複,1-4-5,2340
2020-02-15,芦屋,11,単勝,3,420
2020-02-15,芦屋,11,複勝,3,270
2020-02-15,芦屋,11,複勝,2,270
2020-02-15,芦屋,11,２連単,3-2,7410
2020-02-15,芦屋,11,２連複,2-3,2580
2020-02-15,芦屋,11,拡連複,2-3,270
2020-02-15,芦屋,11,３連単,3-2-5,45010
2020-02-15,芦屋,11,３連複,2-3-5,6420
2020-02-15,芦屋,12,単勝,1,100
2020-02-15,芦屋,12,複勝,1,120
2020-02-15,芦屋,12,複勝,3,420
2020-02-15,芦屋,12,２連単,1-3,350
2020-02-15,芦屋,12,２連複,1-3,250
2020-02-15,芦屋,12,拡連複,1-3,160
2020-02-15,芦屋,12,３連単,1-3-6,1700
2020-02-15,芦屋,12,３連複,1-3-6,970
2020-02-15,若松,1,単勝,6,1090
2020-02-15,若松,1,複勝,6,630
2020-02-15,若松,1,複勝,4,310
2020-02-15,若松,1,２連単,6-4,17750
2020-02-15,若松,1,２連複,4-6,4920
2020-02-15,若松,1,拡連複,4-6,1120
2020-02-15,若松,1,３連単,6-4-5,49130
2020-02-15,若松,1,３連複,4-5-6,3990
2020-02-15,若松,2,単勝,1,110
2020-02-15,若松,2,複勝,1,120
2020-02-15,若松,2,複勝,6,310
2020-02-15,若松,2,２連単,1-6,1070
2020-02-15,若松,2,２連複,1-6,1020
2020-02-15,若松,2,拡連複,1-6,150
2020-02-15,若松,2,３連単,1-6-4,3600
2020-02-15,若松,2,３連複,1-4-6,710
2020-02-15,若松,3,単勝,1,180
2020-02-15,若松,3,複勝,1,110
2020-02-15,若松,3,複勝,3,240
2020-02-15,若松,3,２連単,1-3,2030
2020-02-15,若松,3,２連複,1-3,1190
2020-02-15,若松,3,拡連複,1-3,430
2020-02-15,若松,3,３連単,1-3-2,3190
2020-02-15,若松,3,３連複,1-2-3,1040
2020-02-15,若松,4,単勝,4,1360
2020-02-15,若松,4,複勝,4,290
2020-02-15,若松,4,複勝,2,430
2020-02-15,若松,4,２連単,4-2,9040
2020-02-15,若松,4,２連複,2-4,2570
2020-02-15,若松,4,拡連複,2-4,800
2020-02-15,若松,4,３連単,4-2-5,40230
2020-02-15,若松,4,３連複,2-4-5,4660
2020-02-15,若松,5,単勝,1,120
2020-02-15,若松,5,複勝,1,100
2020-02-15,若松,5,複勝,4,170
2020-02-15,若松,5,２連単,1-4,360
2020-02-15,若松,5,２連複,1-4,290
2020-02-15,若松,5,拡連複,1-4,170
2020-02-15,若松,5,３連単,1-4-6,2130
2020-02-15,若松,5,３連複,1-4-6,1190
2020-02-15,若松,6,単勝,5,640
2020-02-15,若松,6,複勝,5,120
2020-02-15,若松,6,複勝,2,360
2020-02-15,若松,6,２連単,5-2,3180
2020-02-15,若松,6,２連複,2-5,1770
2020-02-15,若松,6,拡連複,2-5,280
2020-02-15,若松,6,３連単,5-2-1,6300
2020-02-15,若松,6,３連複,1-2-5,400
2020-02-15,若松,7,単勝,1,100
2020-02-15,若松,7,複勝,1,100
2020-02-15,若松,7,複勝,6,250
2020-02-15,若松,7,２連単,1-6,950
2020-02-15,若松,7,２連複,1-6,690
2020-02-15,若松,7,拡連複,1-6,210
2020-02-15,若松,7,３連単,1-6-2,2390
2020-02-15,若松,7,３連複,1-2-6,590
2020-02-15,若松,8,単勝,5,1260
2020-02-15,若松,8,複勝,5,310
2020-02-15,若松,8,複勝,1,110
2020-02-15,若松,8,２連単,5-1,5970
2020-02-15,若松,8,２連複,1-5,550
2020-02-15,若松,8,拡連複,1-5,100
2020-02-15,若松,8,３連単,5-1-2,14480
2020-02-15,若松,8,３連複,1-2-5,370
2020-02-15,若松,9,単勝,4,960
2020-02-15,若松,9,複勝,4,460
2020-02-15,若松,9,複勝,5,660
2020-02-15,若松,9,２連単,4-5,3410
