日付,レース場,レース番号,券種, 1-2-3, 2-1-3, 3-1-2, 4-1-2, 5-1-2, 6-1-2, 1-2-4, 2-1-4, 3-1-4, 4-1-3, 5-1-3, 6-1-3, 1-2-5, 2-1-5, 3-1-5, 4-1-5, 5-1-4, 6-1-4, 1-2-6, 2-1-6, 3-1-6, 4-1-6, 5-1-6, 6-1-5, 1-3-2, 2-3-1, 3-2-1, 4-2-1, 5-2-1, 6-2-1, 1-3-4, 2-3-4, 3-2-4, 4-2-3, 5-2-3, 6-2-3, 1-3-5, 2-3-5, 3-2-5, 4-2-5, 5-2-4, 6-2-4, 1-3-6, 2-3-6, 3-2-6, 4-2-6, 5-2-6, 6-2-5, 1-4-2, 2-4-1, 3-4-1, 4-3-1, 5-3-1, 6-3-1, 1-4-3, 2-4-3, 3-4-2, 4-3-2, 5-3-2, 6-3-2, 1-4-5, 2-4-5, 3-4-5, 4-3-5, 5-3-4, 6-3-4, 1-4-6, 2-4-6, 3-4-6, 4-3-6, 5-3-6, 6-3-5, 1-5-2, 2-5-1, 3-5-1, 4-5-1, 5-4-1, 6-4-1, 1-5-3, 2-5-3, 3-5-2, 4-5-2, 5-4-2, 6-4-2, 1-5-4, 2-5-4, 3-5-4, 4-5-3, 5-4-3, 6-4-3, 1-5-6, 2-5-6, 3-5-6, 4-5-6, 5-4-6, 6-4-5, 1-6-2, 2-6-1, 3-6-1, 4-6-1, 5-6-1, 6-5-1, 1-6-3, 2-6-3, 3-6-2, 4-6-2, 5-6-2, 6-5-2, 1-6-4, 2-6-4, 3-6-4, 4-6-3, 5-6-3, 6-5-3, 1-6-5, 2-6-5, 3-6-5, 4-6-5, 5-6-4, 6-5-4
2025-05-30,唐津,11,3連単,7.1,33.0,76.3,117.4,290.8,502.9,9.6,44.3,82.1,167.3,372.2,506.6,17.2,57.3,97.5,182.0,458.7,446.6,18.7,64.5,93.6,126.7,359.6,766.3,8.7,113.2,171.1,213.3,551.9,814.0,10.3,311.4,482.8,470.1,986.8,1456,14.5,318.1,467.5,602.9,1310,1408,18.7,332.4,520.6,393.8,1057,2218,18.0,170.5,244.7,352.1,751.0,1057,18.0,375.9,468.8,680.3,1469,1740,32.1,570.5,455.6,886.3,2045,1714,24.2,386.6,409.9,639.3,1508,2715,43.2,330.5,384.0,293.4,684.4,584.2,38.1,651.5,754.3,551.9,1234,1444,71.9,866.0,660.4,832.0,2162,1688,67.7,649.0,705.7,328.9,752.7,1444,57.8,411.9,497.7,227.9,823.9,1420,54.5,850.8,995.5,505.9,1252,2477,64.5,917.5,1044,660.4,1578,2514,87.8,1041,1320,402.2,1191,1705
2025-05-30,唐津,12,3連単,5.1,23.1,43.8,158.7,191.8,735.9,8.8,38.1,68.6,180.8,174.7,956.7,13.7,42.6,72.5,224.6,404.7,1171,31.9,98.6,150.6,306.4,334.0,1345,6.8,72.8,83.5,322.8,354.3,1285,12.0,165.5,147.9,455.6,508.0,1705,13.6,176.8,171.1,562.8,846.2,1935,42.4,405.6,445.0,818.1,745.5,2408,22.5,169.7,169.7,343.0,359.9,1383,30.5,266.1,219.8,486.4,568.3,1945,54.1,439.3,325.2,601.1,1025,1832,78.2,640.2,410.5,690.2,745.5,2207,30.2,233.0,204.2,464.8,723.6,2139,30.8,348.2,256.0,583.7,918.4,2589,84.4,602.1,391.8,628.5,1016,2266,83.1,755.3,477.0,661.1,1013,2425,123.1,599.0,581.8,505.7,964.8,1935,165.6,1118,938.5,1183,1394,2609,228.1,1285,923.4,1140,1266,2311,219.8,1183,880.9,1129,1793,2823
2025-05-30,芦屋,1,3連単,5.2,27.7,32.0,655.1,67.5,247.4,44.1,191.3,174.1,848.6,63.6,281.9,8.7,40.2,35.6,786.1,328.3,658.2,66.1,222.3,196.2,1488,164.4,273.2,5.8,46.2,58.1,989.7,116.5,452.9,35.8,288.5,354.0,1456,131.2,541.1,7.5,63.2,77.2,1707,591.0,1183,56.8,364.8,336.2,2228,378.1,687.5,127.4,572.3,395.3,982.7,93.4,483.9,116.2,740.0,746.7,1515,128.8,570.7,136.2,911.7,516.9,1282,529.4,1278,306.6,1504,1193,1993,312.5,615.4,16.6,95.1,66.0,1062,936.3,1384,14.9,103.2,86.5,1240,1274,1627,84.9,566.8,333.6,1302,1160,1750,77.0,494.2,278.3,1868,1379,1560,174.7,673.1,555.5,2252,260.0,351.0,179.2,1021,840.0,2934,431.3,647.0,406.9,1984,1602,3415,400.2,555.5,173.5,1071,630.3,2604,840.0,1105
2025-05-30,芦屋,2,3連単,30.3,161.7,85.0,43.6,2690,206.3,20.7,101.3,20.2,20.4,2163,99.3,221.3,1195,484.9,245.9,1878,63.9,73.0,308.8,52.7,21.0,2212,661.4,22.9,290.4,203.5,104.3,3135,422.6,6.8,346.2,214.5,219.3,4424,664.7,223.1,2106,1331,1010,3792,509.8,16.3,727.9,444.3,215.1,4855,2175,14.0,179.9,32.4,37.1,2803,183.7,6.8,341.7,137.8,148.3,4740,496.4,177.4,2212,467.8,604.1,3492,162.1,9.5,499.5,59.8,64.0,3345,1382,809.2,2249,1502,674.8,2262,76.3,819.2,2927,2140,1240,4327,285.0,812.5,3160,1543,1140,2708,120.1,714.8,3492,1793,681.7,2654,747.0,78.9,694.8,120.5,33.5,2949,1638,36.2,1093,397.7,123.8,4524,2803,25.6,776.1,115.9,58.2,4191,2152,372.8,3374,1047,349.5,3135,1687
2025-05-30,芦屋,3,3連単,13.5,72.5,120.1,66.7,87.5,1759,9.1,46.5,90.2,117.9,113.4,2790,11.2,51.2,76.3,55.2,100.7,1917,54.6,196.7,293.0,144.2,201.9,1932,17.3,138.5,188.1,109.3,154.0,2183,14.1,144.5,190.0,239.0,307.4,2911,14.7,138.6,173.2,132.5,242.2,1654,77.8,407.9,467.3,264.6,435.0,2495,12.5,82.4,127.6,194.2,180.4,3252,21.7,142.2,195.8,273.2,317.9,2725,16.0,92.3,120.0,182.9,267.7,2965,52.8,231.2,353.2,458.7,584.3,3102,22.1,118.9,133.1,67.9,122.9,2214,29.5,208.7,222.4,106.8,187.8,1648,26.5,154.1,165.4,149.0,259.4,3834,80.1,410.0,416.2,143.3,244.6,1827,246.7,675.6,1020,412.9,477.8,1981,391.0,960.4,1130,550.2,755.7,2430,242.0,735.7,1206,952.7,1025,3274,267.7,956.5,1055,446.1,667.0,1721
2025-05-30,芦屋,4,3連単,8.0,37.5,30.8,295.5,160.0,320.8,21.0,78.1,53.2,283.1,124.1,316.9,13.7,54.7,28.2,277.5,301.8,593.5,31.2,108.9,56.9,407.4,253.8,378.5,8.1,62.7,56.0,408.8,256.7,436.8,16.9,164.4,142.3,477.7,355.7,654.3,9.3,106.4,83.6,631.9,716.9,942.2,22.4,204.7,135.7,716.9,652.5,933.1,49.7,217.1,105.0,363.6,157.6,438.8,51.2,313.4,189.6,496.4,293.1,658.8,66.7,393.7,122.5,441.6,472.5,1072,93.4,476.7,161.6,663.3,363.3,677.4,31.9,152.4,53.0,371.5,454.6,1009,26.2,212.2,99.7,642.0,815.6,1193,69.9,467.0,122.6,499.6,609.4,1343,59.7,415.6,93.9,505.3,742.4,1398,73.2,323.4,163.7,609.4,395.0,602.5,69.9,530.5,298.0,865.7,685.1,1105,134.4,857.9,341.3,961.1,508.6,831.2,96.8,726.6,208.7,825.5,938.5,1306
2025-05-30,芦屋,5,3連単,14.8,78.8,163.8,23.8,230.6,2296,7.1,43.0,67.3,35.3,325.8,2830,22.2,88.4,143.4,28.4,152.8,1497,96.4,283.5,386.0,93.6,532.0,3005,25.0,248.2,308.5,45.2,455.8,3202,11.7,247.7,288.4,107.0,932.6,5018,30.7,418.9,475.8,105.0,461.0,3477,110.1,993.5,1140,256.4,1284,4868,7.3,86.4,74.5,71.2,610.0,3688,10.4,194.8,194.1,150.3,1119,5409,11.8,187.0,130.3,114.9,540.9,2202,46.9,537.9,274.7,255.0,1714,5124,52.9,318.8,304.0,42.3,163.3,1617,62.8,625.7,630.5,73.7,305.4,3202,39.5,397.7,295.5,110.6,386.9,2421,157.8,1220,930.8,107.8,436.2,2386,414.6,1167,1319,262.0,1150,3632,522.3,3334,2471,435.0,1770,4090,264.5,2154,1196,575.4,2264,4636,406.3,2471,1720,290.4,1170,2750
2025-05-30,芦屋,6,3連単,116.7,408.9,296.1,56.2,182.8,欠場,85.3,295.6,73.0,24.2,72.7,欠場,146.3,437.0,107.3,9.2,32.9,欠場,欠場,欠場,欠場,欠場,欠場,欠場,114.5,541.4,484.0,133.5,352.1,欠場,30.5,495.8,430.1,160.4,367.6,欠場,44.1,626.0,513.1,97.3,195.6,欠場,欠場,欠場,欠場,欠場,欠場,欠場,52.1,307.9,63.0,38.5,105.8,欠場,20.3,406.9,223.5,111.1,280.7,欠場,11.3,246.2,28.9,19.4,46.6,欠場,欠場,欠場,欠場,欠場,欠場,欠場,133.5,505.9,115.2,5.2,18.2,欠場,46.5,691.4,328.5,26.2,63.5,欠場,21.9,342.4,50.7,6.9,21.3,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場,欠場
2025-05-30,芦屋,7,3連単,11.1,19.8,45.9,82.5,129.5,854.0,10.5,17.4,65.8,162.6,196.7,1553,15.6,23.1,62.8,96.2,178.9,1468,58.1,91.4,221.2,265.4,371.6,1923,21.3,35.5,48.9,88.9,144.3,954.9,32.0,44.2,61.8,141.7,154.3,1811,35.6,40.0,55.6,91.1,136.6,1342,143.4,156.3,207.2,289.5,365.9,1628,25.8,44.0,89.5,196.0,215.2,2114,51.4,62.3,78.7,166.4,171.3,1951,45.4,43.9,69.2,156.2,213.0,1896,148.4,180.0,209.5,431.1,501.8,2009,46.1,58.7,88.1,98.2,193.9,1999,73.2,72.5,80.6,89.8,142.0,1662,79.7,67.5,89.8,141.5,218.3,2171,187.7,190.8,197.2,167.2,318.3,1524,235.5,365.9,726.5,532.2,623.3,2148,503.6,621.4,632.1,535.7,575.4,1718,429.2,498.7,625.3,757.8,776.8,1923,473.0,526.6,585.4,392.1,527.3,1402
2025-05-30,芦屋,8,3連単,21.7,34.2,208.1,37.9,112.7,4107,9.2,10.1,238.6,126.6,288.7,6479,12.6,14.5,228.9,40.1,133.9,5287,337.2,340.0,1790,640.7,1299,7420,41.0,76.3,229.7,36.6,115.7,5055,53.4,59.6,177.5,94.8,260.2,5679,56.3,69.3,178.7,28.7,86.0,3865,851.9,1060,1369,515.7,1100,5679,15.3,16.1,280.1,251.1,512.8,7541,49.0,43.3,238.8,192.0,438.5,6667,22.0,15.8,251.2,180.3,422.4,6970,444.9,387.2,1586,1385,2371,8847,31.4,36.0,343.5,39.4,108.0,6572,79.6,81.7,297.1,31.4,78.1,3898,46.9,30.6,363.9,109.4,261.6,6479,670.6,581.5,2311,304.4,637.1,4000,1361,1776,4299,1691,3511,7931,1710,2659,3802,1666,2754,5823,1518,1625,4071,2754,4182,8215,1776,1729,4946,1314,2129,4071
