日付,レース場,レース番号,券種, 1-2-3, 2-1-3, 3-1-2, 4-1-2, 5-1-2, 6-1-2, 1-2-4, 2-1-4, 3-1-4, 4-1-3, 5-1-3, 6-1-3, 1-2-5, 2-1-5, 3-1-5, 4-1-5, 5-1-4, 6-1-4, 1-2-6, 2-1-6, 3-1-6, 4-1-6, 5-1-6, 6-1-5, 1-3-2, 2-3-1, 3-2-1, 4-2-1, 5-2-1, 6-2-1, 1-3-4, 2-3-4, 3-2-4, 4-2-3, 5-2-3, 6-2-3, 1-3-5, 2-3-5, 3-2-5, 4-2-5, 5-2-4, 6-2-4, 1-3-6, 2-3-6, 3-2-6, 4-2-6, 5-2-6, 6-2-5, 1-4-2, 2-4-1, 3-4-1, 4-3-1, 5-3-1, 6-3-1, 1-4-3, 2-4-3, 3-4-2, 4-3-2, 5-3-2, 6-3-2, 1-4-5, 2-4-5, 3-4-5, 4-3-5, 5-3-4, 6-3-4, 1-4-6, 2-4-6, 3-4-6, 4-3-6, 5-3-6, 6-3-5, 1-5-2, 2-5-1, 3-5-1, 4-5-1, 5-4-1, 6-4-1, 1-5-3, 2-5-3, 3-5-2, 4-5-2, 5-4-2, 6-4-2, 1-5-4, 2-5-4, 3-5-4, 4-5-3, 5-4-3, 6-4-3, 1-5-6, 2-5-6, 3-5-6, 4-5-6, 5-4-6, 6-4-5, 1-6-2, 2-6-1, 3-6-1, 4-6-1, 5-6-1, 6-5-1, 1-6-3, 2-6-3, 3-6-2, 4-6-2, 5-6-2, 6-5-2, 1-6-4, 2-6-4, 3-6-4, 4-6-3, 5-6-3, 6-5-3, 1-6-5, 2-6-5, 3-6-5, 4-6-5, 5-6-4, 6-5-4
2025-04-08,大村,1,3連単,7.2,15.3,61.8,207.3,53.6,586.8,13.6,29.9,119.3,445.5,84.9,1163,7.3,12.8,63.4,254.9,169.7,1351,88.7,129.9,358.6,681.8,223.5,975.2,12.1,48.7,87.1,273.2,59.3,810.0,33.8,122.0,169.0,449.0,103.7,1136,19.3,51.4,77.9,214.4,149.1,1668,177.9,368.8,477.5,985.0,243.2,1098,33.9,99.0,236.0,792.0,158.3,1640,61.1,165.8,226.6,576.5,155.6,1490,57.0,100.1,192.5,624.2,404.5,2648,239.4,476.9,697.5,1858,579.9,1866,19.5,36.5,100.6,297.2,369.8,2319,29.6,62.1,106.1,199.9,235.4,2142,62.4,85.3,177.2,453.2,469.5,2970,143.1,216.6,388.5,524.1,655.5,1782,261.1,476.9,1086,1561,552.9,1298,403.7,722.0,1034,1600,511.1,1260,511.1,1256,1537,2420,852.2,1758,362.6,579.9,1059,1107,867.3,1519
2025-04-08,大村,2,3連単,11.8,25.7,44.1,40.7,133.3,2233,14.3,41.7,59.0,50.0,144.8,2259,26.7,38.3,50.7,63.7,188.0,2648,204.3,244.6,240.6,264.3,393.9,2648,17.3,35.9,46.6,63.9,179.7,2526,23.7,46.7,59.0,59.6,121.2,2145,31.9,25.9,38.4,65.4,194.4,2630,219.1,146.1,177.2,320.3,391.5,2145,17.4,62.7,96.2,85.6,170.7,2577,26.2,54.6,84.9,73.7,128.3,2543,41.9,56.9,82.5,84.8,203.0,2299,213.5,266.7,321.6,324.1,306.7,1542,54.9,73.8,61.8,142.1,261.4,3122,59.7,46.0,53.4,113.3,230.9,3200,74.8,76.7,77.2,129.7,254.7,3024,250.3,159.1,120.7,335.1,553.4,2763,560.7,870.9,563.1,865.0,967.4,3000,654.3,559.8,499.4,745.8,803.5,2233,659.9,788.6,568.1,820.7,698.3,1607,652.1,447.1,316.3,638.0,965.0,2783
2025-04-08,大村,3,3連単,11.7,71.1,35.4,105.2,1819,622.8,20.3,84.6,13.7,49.2,1061,333.3,243.0,600.0,131.0,278.3,1212,421.3,54.6,200.2,33.9,95.2,2001,1356,8.2,129.8,98.8,233.9,3395,1203,4.5,127.3,95.7,197.5,3139,1107,60.5,879.8,664.3,1025,3161,1242,12.2,295.3,195.7,390.7,5330,3581,18.7,192.6,28.2,63.7,1507,505.9,9.7,173.7,61.3,129.8,3757,1157,123.6,1005,242.7,420.5,1673,464.4,26.1,446.3,58.2,120.3,4407,2477,527.5,1934,578.7,677.1,1591,593.0,248.5,2046,1137,1126,2589,1063,440.3,2477,651.1,687.2,1528,501.5,545.0,3228,897.0,787.6,2996,2532,98.5,709.6,122.5,194.7,4825,3395,46.1,764.0,299.4,371.1,3638,5457,66.1,822.9,145.8,195.5,4407,3118,389.4,3205,678.1,707.4,4876,3884
2025-04-08,大村,4,3連単,11.2,14.6,14.8,406.8,410.7,2272,57.6,51.8,27.9,355.7,337.6,2018,58.1,50.1,24.3,329.3,726.9,3590,251.6,189.1,118.8,734.9,1324,2501,11.0,12.6,14.3,498.7,503.0,3094,36.7,17.5,16.3,263.9,196.6,1073,33.2,13.2,12.6,575.6,709.4,3536,187.9,65.3,59.7,1181,961.8,2958,146.1,145.4,61.3,436.7,340.8,2316,119.5,73.4,38.1,264.8,193.1,1054,311.6,175.8,52.8,439.1,555.9,2157,646.0,474.6,177.1,920.4,812.3,2542,159.8,145.3,57.7,983.9,1420,4354,121.9,59.8,33.1,841.3,1387,4019,410.0,208.4,71.5,665.2,990.1,3074,595.3,315.0,144.4,1221,2283,3433,723.5,762.3,410.4,2272,2528,4354,720.2,268.4,200.0,2062,2009,3312,1215,1045,447.0,1768,1673,2598,1011,601.4,330.5,1774,2850,3408
2025-04-08,大村,5,3連単,45.7,19.7,354.1,57.3,158.2,1196,16.2,6.1,679.4,398.2,621.2,3450,22.7,7.9,871.8,80.6,236.0,2414,73.9,29.3,1588,193.0,366.3,2119,133.7,66.7,339.2,40.7,116.1,921.8,258.2,79.2,460.5,199.6,427.7,1997,290.8,77.7,490.0,29.8,87.6,725.0,558.5,152.6,801.8,69.7,165.4,843.9,41.3,11.8,1064,888.2,1387,4609,223.0,50.1,792.2,535.4,1098,3199,84.6,11.5,1439,1012,1877,4423,246.7,33.9,2746,1536,2496,4674,78.2,22.9,1467,69.4,180.9,2189,291.6,69.2,1115,36.6,91.2,885.9,140.5,21.3,1927,345.9,797.9,4043,320.1,48.0,3109,81.4,195.0,1181,357.6,111.8,3469,378.1,589.0,2234,975.0,257.7,2841,169.0,360.5,1093,651.9,105.4,4171,1231,1536,3415,672.5,104.1,3397,235.4,456.7,1185
2025-04-08,大村,6,3連単,40.5,203.3,267.7,61.9,253.6,113.0,11.1,138.6,305.3,194.3,385.0,267.0,29.5,245.9,294.0,35.7,156.4,62.1,15.3,161.6,295.7,23.0,130.8,160.8,63.8,358.8,385.6,164.3,570.6,246.1,44.4,691.0,908.1,718.3,1201,838.4,68.9,748.9,868.0,232.4,812.1,380.5,55.2,782.3,805.4,157.3,547.7,751.2,9.8,267.6,510.7,535.7,698.8,534.0,35.7,941.2,901.5,1030,1286,1017,14.0,696.9,904.8,838.4,1266,1013,6.3,311.7,534.6,575.3,841.3,1124,48.2,632.3,484.0,60.8,166.3,80.3,84.2,1266,835.5,163.7,466.1,263.8,32.1,946.6,992.5,498.2,974.8,654.2,31.8,719.3,597.7,57.9,148.3,252.6,25.7,363.9,467.4,35.3,183.2,269.6,68.3,965.2,648.1,113.3,395.5,630.7,14.4,524.9,688.1,345.7,589.8,837.0,36.7,937.6,759.3,56.7,225.1,350.1
2025-04-08,大村,7,3連単,3.6,6.5,26.1,249.5,607.1,1180,11.9,20.0,56.0,286.1,601.7,1653,35.0,63.5,94.7,502.6,991.3,2686,131.3,155.6,301.8,1145,1653,2686,5.5,16.9,34.0,358.7,796.0,1421,13.6,46.0,80.0,396.2,835.6,1410,34.1,108.0,140.2,792.5,1599,2558,155.2,244.9,340.5,1575,2175,3018,37.5,105.9,157.2,467.2,811.6,2082,38.6,139.4,154.0,491.6,980.5,1744,157.3,395.6,329.2,1098,1968,3160,407.9,770.9,824.1,2140,2043,2336,103.9,229.2,258.5,838.2,1827,4197,100.8,293.3,273.1,957.8,2115,3757,250.1,523.7,495.2,1212,2336,4101,529.9,1163,775.3,1815,3535,4165,485.8,622.6,993.2,2476,2904,3511,563.8,796.0,858.3,2646,3535,3865,843.5,1444,1575,3105,2409,2534,964.6,1767,1346,2499,3810,3865
2025-04-08,大村,8,3連単,24.9,153.8,113.7,55.7,199.9,1157,16.9,103.2,41.3,47.6,143.3,1520,36.0,210.3,52.5,28.1,78.2,586.5,85.3,395.3,153.2,45.4,158.7,1093,22.1,322.6,263.8,153.8,490.8,2009,8.9,482.0,330.1,345.9,900.6,2723,13.7,645.3,397.3,215.2,508.8,1973,62.7,1101,693.7,300.3,774.8,2911,14.1,222.3,58.2,88.3,255.2,2150,10.7,472.3,220.9,291.6,717.2,2611,10.4,478.9,68.4,112.3,289.7,1913,26.0,685.7,153.3,195.2,562.0,2529,46.6,564.5,99.4,37.3,93.0,626.2,29.9,900.6,332.9,113.2,260.9,1694,26.2,694.2,114.3,107.1,229.5,1552,66.1,1085,246.7,50.5,135.5,736.9,236.9,1209,578.8,119.0,389.6,1274,232.9,1528,1009,286.3,723.1,2604,118.2,1423,591.6,314.7,753.8,2032,181.1,1512,583.0,122.6,318.5,797.8
2025-04-08,大村,9,3連単,4.8,28.6,98.7,509.7,315.9,150.7,9.2,53.1,243.6,834.7,473.5,235.8,10.7,52.5,219.4,739.9,738.0,603.0,6.7,32.5,103.5,691.0,303.2,382.5,10.4,122.0,180.7,785.2,606.4,250.5,29.1,570.9,723.5,1626,1317,567.4,28.5,490.8,704.8,1870,1952,1299,15.8,234.0,322.5,1264,893.7,989.7,32.2,367.7,632.2,1323,1045,390.6,63.6,834.7,1018,1814,1729,669.7,79.6,1045,1325,2308,2529,1768,57.4,600.0,912.9,1934,1635,1732,30.9,305.8,609.9,1132,1470,1440,48.5,747.1,1039,2036,2386,1862,91.0,1210,1423,2353,2706,2583,42.5,510.3,821.7,1386,1956,1882,21.5,137.7,230.1,1101,446.6,581.5,32.6,319.7,369.3,1554,741.2,1006,79.3,622.9,916.9,2448,1094,1512,53.1,494.8,800.0,1586,1346,1568
2025-04-08,大村,10,3連単,54.5,391.8,322.9,212.3,43.7,485.1,55.2,473.5,270.5,231.3,36.1,439.4,26.1,278.0,97.8,59.4,30.0,455.8,85.9,538.2,244.8,126.9,18.5,128.7,69.9,611.6,571.3,586.8,147.6,937.8,47.0,1315,1077,992.0,335.9,1575,15.6,796.3,613.1,406.3,252.8,1537,61.3,1378,1059,761.5,202.3,824.1,55.2,803.9,436.9,558.6,99.3,720.4,51.6,1387,1102,1213,358.4,1451,14.8,655.1,283.5,345.1,227.5,1238,53.1,1227,622.5,726.6,132.3,441.1,12.4,341.9,107.8,49.7,51.1,787.0,10.7,668.5,399.1,147.3,166.6,1470,9.6,585.8,232.1,165.7,171.7,1389,7.7,514.4,156.7,54.8,55.4,352.6,141.8,1007,480.9,249.3,33.8,128.0,115.7,1580,973.0,568.7,134.1,513.3,106.6,1325,765.0,604.0,101.0,352.4,30.0,793.8,291.5,139.4,73.0,275.4
