日付,レース場,レース番号,券種, 1-2-3, 2-1-3, 3-1-2, 4-1-2, 5-1-2, 6-1-2, 1-2-4, 2-1-4, 3-1-4, 4-1-3, 5-1-3, 6-1-3, 1-2-5, 2-1-5, 3-1-5, 4-1-5, 5-1-4, 6-1-4, 1-2-6, 2-1-6, 3-1-6, 4-1-6, 5-1-6, 6-1-5, 1-3-2, 2-3-1, 3-2-1, 4-2-1, 5-2-1, 6-2-1, 1-3-4, 2-3-4, 3-2-4, 4-2-3, 5-2-3, 6-2-3, 1-3-5, 2-3-5, 3-2-5, 4-2-5, 5-2-4, 6-2-4, 1-3-6, 2-3-6, 3-2-6, 4-2-6, 5-2-6, 6-2-5, 1-4-2, 2-4-1, 3-4-1, 4-3-1, 5-3-1, 6-3-1, 1-4-3, 2-4-3, 3-4-2, 4-3-2, 5-3-2, 6-3-2, 1-4-5, 2-4-5, 3-4-5, 4-3-5, 5-3-4, 6-3-4, 1-4-6, 2-4-6, 3-4-6, 4-3-6, 5-3-6, 6-3-5, 1-5-2, 2-5-1, 3-5-1, 4-5-1, 5-4-1, 6-4-1, 1-5-3, 2-5-3, 3-5-2, 4-5-2, 5-4-2, 6-4-2, 1-5-4, 2-5-4, 3-5-4, 4-5-3, 5-4-3, 6-4-3, 1-5-6, 2-5-6, 3-5-6, 4-5-6, 5-4-6, 6-4-5, 1-6-2, 2-6-1, 3-6-1, 4-6-1, 5-6-1, 6-5-1, 1-6-3, 2-6-3, 3-6-2, 4-6-2, 5-6-2, 6-5-2, 1-6-4, 2-6-4, 3-6-4, 4-6-3, 5-6-3, 6-5-3, 1-6-5, 2-6-5, 3-6-5, 4-6-5, 5-6-4, 6-5-4
2025-03-03,大村,1,3連単,7.0,75.7,130.6,99.9,410.9,521.0,6.4,68.1,96.8,130.9,389.9,842.3,27.3,146.5,159.7,113.6,428.3,578.2,19.9,134.3,278.0,125.8,560.3,925.6,9.1,228.6,270.8,214.3,797.1,929.0,8.5,408.9,452.8,613.3,1276,2005,23.5,681.1,530.9,560.3,1302,1696,27.1,899.3,865.4,597.4,1452,2123,10.3,195.2,188.8,254.7,736.7,1792,12.4,565.3,487.8,578.2,1673,2297,23.8,652.9,377.7,525.3,1495,1900,17.8,551.7,564.0,513.6,2141,3239,54.4,515.7,432.7,219.3,538.8,899.3,54.1,946.4,715.8,433.4,1070,1742,52.6,862.4,692.3,482.2,953.6,1831,73.0,1061,987.1,333.3,787.2,1719,56.0,622.4,823.1,290.4,1014,1651,83.8,1282,1209,641.3,1609,2578,54.0,998.8,968.2,631.7,1754,2746,111.3,1469,1351,500.4,1169,2141
2025-03-03,大村,2,3連単,4.4,29.7,74.5,284.8,750.8,109.7,13.7,60.8,177.7,640.9,1000,170.9,19.9,93.2,219.0,510.7,1521,411.8,6.9,33.1,82.6,371.5,787.7,473.9,6.7,83.0,130.8,389.6,1147,174.5,21.3,313.5,494.1,1338,1953,345.3,29.0,392.7,539.3,787.7,1474,766.8,12.7,129.8,218.3,746.9,1615,917.7,31.4,213.3,475.4,1189,2064,362.2,44.8,580.4,821.2,1661,2558,494.1,105.0,884.0,1240,2470,5071,1357,51.9,444.7,549.5,1671,3011,1332,66.0,487.4,670.7,733.7,2157,897.7,81.8,730.0,970.0,706.8,1562,1431,157.6,1214,1403,1671,3854,2035,99.8,781.3,1111,929.5,2173,1940,19.5,114.3,249.4,602.2,1184,1120,30.2,205.9,344.1,960.4,2035,1784,77.0,530.4,886.7,1642,2449,2125,96.9,677.0,835.5,1003,3285,2449
2025-03-03,大村,3,3連単,11.6,121.3,195.3,203.0,175.4,220.2,18.3,153.3,275.2,314.0,267.0,384.5,9.9,112.1,168.3,130.0,210.6,438.1,12.6,114.1,192.7,148.8,105.0,173.8,13.6,362.2,424.3,467.6,479.2,531.9,21.1,1227,1424,1512,1447,1436,12.8,913.1,941.7,847.4,1250,1399,15.3,848.7,1029,809.4,733.7,1023,23.5,533.4,661.9,723.9,682.8,1002,30.2,1516,1635,1512,1781,2148,19.1,1085,955.0,1017,2082,2590,21.8,877.6,1179,1027,1021,1697,14.9,382.4,462.4,160.4,267.5,895.0,24.3,1102,1203,427.7,688.0,1741,33.6,1399,1177,690.6,1157,2385,13.1,762.6,722.9,177.4,294.1,1065,25.4,471.2,655.5,277.4,187.1,331.5,37.7,1236,1428,681.9,571.1,920.9,43.3,1440,1848,999.0,743.8,1182,23.1,943.3,979.1,324.0,489.5,884.7
2025-03-03,大村,4,3連単,44.9,98.5,97.7,79.8,96.9,2809,33.0,68.9,42.9,72.2,69.0,3283,41.5,76.4,37.8,31.2,55.5,2454,346.4,544.1,331.4,179.2,185.7,1800,46.0,165.1,158.3,141.6,153.2,3559,25.1,112.4,90.0,152.1,151.4,3951,23.1,89.6,67.7,72.8,108.8,3215,258.7,758.2,638.7,399.2,369.7,2989,36.6,111.9,52.5,90.5,74.3,3918,31.3,123.5,66.7,113.9,105.7,4571,17.7,75.4,19.9,34.0,46.2,2454,177.9,570.0,198.9,257.7,225.9,2036,39.6,112.3,37.9,25.3,48.2,3027,29.5,102.8,50.1,37.9,66.0,3586,24.8,88.3,21.8,23.8,41.9,2548,220.6,471.0,156.7,62.1,107.7,945.8,652.1,1895,1189,432.1,410.4,1779,700.1,1835,1250,652.1,525.7,2711,633.5,1586,789.0,553.8,417.0,1814,596.2,1240,536.5,215.3,260.9,912.5
2025-03-03,大村,5,3連単,5.0,9.2,81.9,137.2,571.2,333.8,6.8,12.0,145.1,334.9,982.5,1279,30.3,40.6,245.0,449.9,1279,1449,11.5,14.7,181.5,271.3,865.2,1553,14.0,34.9,111.6,177.5,913.7,346.2,33.4,59.9,156.3,359.6,1953,1035,65.3,180.4,343.7,679.5,1753,876.8,39.8,77.7,210.8,257.8,1181,1560,26.5,46.5,274.5,521.9,1647,2051,57.3,83.2,259.9,497.2,2313,1681,131.7,216.1,529.5,1144,2652,2471,63.1,72.3,412.3,886.4,2588,3020,96.5,211.6,753.3,858.4,2026,1930,147.5,386.9,805.4,929.3,1896,1140,270.9,489.7,1336,1359,3545,2938,204.6,341.9,959.4,911.1,1989,3624,60.9,76.3,614.3,562.4,1976,2001,128.9,160.0,533.8,437.8,2091,2416,153.5,145.8,1087,1217,3198,2886,253.2,348.5,1173,976.6,2938,3020
2025-03-03,大村,6,3連単,14.8,87.8,273.6,26.5,665.1,334.8,6.7,34.3,179.3,74.6,800.5,559.1,36.3,124.1,362.4,47.9,447.6,280.3,21.7,78.8,369.0,36.6,651.8,665.1,23.1,304.7,490.5,56.2,1184,520.1,17.6,328.9,583.7,221.4,3034,1280,42.7,631.7,1219,151.9,1244,551.6,36.1,615.1,1164,93.1,1689,1498,6.2,71.4,259.5,229.5,1433,1433,12.7,217.8,489.5,407.9,3461,2155,17.4,226.7,578.9,504.6,2155,1718,11.5,127.9,552.2,452.5,2642,3668,76.3,640.8,797.9,94.9,350.3,361.4,91.4,1580,1989,167.9,809.7,528.5,61.4,617.4,1228,320.6,1247,1073,89.8,1026,1761,124.1,461.0,873.0,51.6,344.2,1167,93.9,1458,1412,76.1,965.6,1742,137.7,2374,2546,45.6,385.8,1339,374.3,3212,3343,137.3,1273,2194,175.1,1314,1512
2025-03-03,大村,7,3連単,4.7,39.7,38.0,425.9,168.1,846.5,20.0,117.6,70.6,419.9,145.2,828.4,10.7,64.7,33.0,508.6,441.0,1790,24.0,116.0,85.8,672.8,309.6,1196,5.7,99.9,83.9,622.0,386.3,1564,18.9,365.0,325.1,1334,538.3,2591,7.5,208.1,148.7,1011,1308,3944,20.9,432.3,314.2,1223,1141,3702,56.1,429.6,198.0,593.5,241.9,1158,68.5,890.8,383.5,1280,493.0,2326,97.6,1011,266.5,1009,1061,2942,142.4,1374,449.8,1475,800.4,2203,22.1,268.2,83.1,642.6,834.8,2910,20.4,393.8,160.0,943.3,1163,4574,91.4,1073,274.6,1095,1327,4389,53.8,930.4,235.4,737.5,1048,3466,93.7,667.0,331.4,1582,615.0,1690,87.6,1088,589.7,2194,1067,3887,221.5,1610,1021,2762,1101,2567,135.5,1455,538.3,1507,1265,2910
2025-03-03,大村,8,3連単,9.8,41.6,69.1,329.7,648.6,30.0,23.8,71.3,125.1,455.1,804.0,42.1,46.6,125.3,188.0,566.8,979.1,94.7,7.7,25.3,50.6,204.1,375.2,152.7,11.3,102.0,157.6,514.0,962.0,59.7,23.2,250.4,376.4,969.9,1500,119.9,44.6,384.3,520.5,1301,1735,220.8,8.5,110.1,149.3,516.9,903.8,343.4,56.9,251.9,348.0,680.8,1166,102.9,59.7,422.0,552.7,948.6,1688,164.0,136.3,704.2,778.8,1540,2223,337.7,36.6,255.8,363.2,728.5,1370,486.9,107.5,444.8,558.3,797.0,1468,252.8,125.5,795.4,853.2,1396,1823,379.2,216.2,1030,1151,1671,2136,538.9,75.0,410.6,553.5,612.8,1238,683.1,11.3,58.3,100.9,303.5,597.3,347.0,13.8,129.5,160.8,462.6,883.4,507.4,36.5,219.8,337.3,731.7,1137,651.7,64.9,333.9,416.4,673.6,1192,682.5
2025-03-03,大村,9,3連単,10.1,56.0,65.1,79.9,339.5,1746,11.1,62.6,28.1,51.4,214.6,2441,23.8,126.4,39.9,60.2,266.0,2729,112.3,321.9,179.6,166.5,504.3,2961,10.9,170.2,200.3,218.8,850.3,2743,6.7,287.2,333.8,385.7,1309,4072,11.4,525.4,455.2,367.4,1412,4436,65.0,1217,1077,694.5,2036,5085,13.1,196.2,56.7,88.7,382.8,3736,9.7,334.0,188.1,265.2,1093,4717,15.4,576.3,83.8,132.6,450.3,4455,68.0,1096,306.4,366.4,1412,4849,42.9,592.6,142.9,105.8,363.5,3048,29.1,1080,446.4,227.3,811.3,4717,34.4,1151,176.6,162.4,400.5,4760,114.9,1970,493.6,210.6,707.7,3919,345.2,1695,1053,459.4,1480,4088,256.5,3004,1934,817.6,2555,5238,291.8,3066,1299,900.3,2097,5085,321.2,3121,1352,453.6,1740,4056
2025-03-03,大村,10,3連単,5.7,21.5,54.5,159.3,402.2,269.5,8.1,26.1,73.1,263.4,650.5,537.9,15.2,51.3,113.3,277.9,685.5,665.5,16.5,44.7,82.7,255.8,619.0,851.8,8.8,49.3,84.6,243.9,610.4,428.5,17.3,71.0,128.3,400.0,1101,894.9,28.5,139.3,192.1,468.2,960.0,1039,25.8,118.3,170.3,431.1,1124,1808,21.4,91.6,178.6,500.4,1074,1020,35.9,139.6,212.4,496.9,1331,1101,48.8,203.6,288.9,806.1,1727,1865,42.8,180.6,307.5,790.0,1951,2613,43.5,205.2,290.6,460.6,983.1,1214,61.8,314.8,397.6,528.1,976.6,1299,87.0,360.4,521.6,829.8,1553,2326,79.9,454.6,536.7,478.1,1037,1967,55.2,196.1,282.3,561.3,1247,1760,74.4,336.2,391.1,640.7,1702,2456,108.1,396.2,640.3,1065,2149,3058,140.0,633.2,725.3,737.5,1594,2260
