日付,レース場,レース番号,券種, 1-2-3, 2-1-3, 3-1-2, 4-1-2, 5-1-2, 6-1-2, 1-2-4, 2-1-4, 3-1-4, 4-1-3, 5-1-3, 6-1-3, 1-2-5, 2-1-5, 3-1-5, 4-1-5, 5-1-4, 6-1-4, 1-2-6, 2-1-6, 3-1-6, 4-1-6, 5-1-6, 6-1-5, 1-3-2, 2-3-1, 3-2-1, 4-2-1, 5-2-1, 6-2-1, 1-3-4, 2-3-4, 3-2-4, 4-2-3, 5-2-3, 6-2-3, 1-3-5, 2-3-5, 3-2-5, 4-2-5, 5-2-4, 6-2-4, 1-3-6, 2-3-6, 3-2-6, 4-2-6, 5-2-6, 6-2-5, 1-4-2, 2-4-1, 3-4-1, 4-3-1, 5-3-1, 6-3-1, 1-4-3, 2-4-3, 3-4-2, 4-3-2, 5-3-2, 6-3-2, 1-4-5, 2-4-5, 3-4-5, 4-3-5, 5-3-4, 6-3-4, 1-4-6, 2-4-6, 3-4-6, 4-3-6, 5-3-6, 6-3-5, 1-5-2, 2-5-1, 3-5-1, 4-5-1, 5-4-1, 6-4-1, 1-5-3, 2-5-3, 3-5-2, 4-5-2, 5-4-2, 6-4-2, 1-5-4, 2-5-4, 3-5-4, 4-5-3, 5-4-3, 6-4-3, 1-5-6, 2-5-6, 3-5-6, 4-5-6, 5-4-6, 6-4-5, 1-6-2, 2-6-1, 3-6-1, 4-6-1, 5-6-1, 6-5-1, 1-6-3, 2-6-3, 3-6-2, 4-6-2, 5-6-2, 6-5-2, 1-6-4, 2-6-4, 3-6-4, 4-6-3, 5-6-3, 6-5-3, 1-6-5, 2-6-5, 3-6-5, 4-6-5, 5-6-4, 6-5-4
2025-04-03,芦屋,1,3連単,11.7,98.2,242.3,30.2,141.2,415.4,8.9,79.2,229.3,56.6,234.8,611.1,16.1,95.7,280.3,30.7,133.5,262.8,35.1,193.7,398.7,28.1,185.8,633.9,15.8,325.3,446.6,87.8,223.0,802.0,13.3,640.7,901.2,297.9,590.9,1637,29.3,646.5,786.1,142.9,410.2,1140,49.2,1091,1307,174.8,523.3,1784,10.1,199.3,404.6,208.8,527.1,1189,14.8,583.1,941.7,465.3,944.2,2332,19.9,389.2,883.4,425.4,959.4,1839,18.6,652.4,1230,455.2,1088,2949,28.4,245.6,677.2,46.3,141.6,289.7,44.1,675.9,1052,89.0,260.5,716.6,36.4,440.6,1197,191.0,469.0,1174,63.5,772.5,1321,65.6,206.3,710.9,82.7,697.0,912.8,55.5,367.5,939.2,132.6,1683,2176,132.5,644.2,1758,66.3,1133,1961,249.4,944.2,2586,135.4,1383,2273,100.2,461.7,977.8
2025-04-03,芦屋,2,3連単,41.9,301.9,365.8,20.0,145.7,1951,10.8,105.6,141.3,44.0,175.1,2008,33.8,250.7,228.1,11.1,46.1,2895,411.8,1136,881.7,152.6,541.5,5614,49.9,735.5,718.2,68.0,282.4,4298,20.2,774.9,659.7,237.7,816.3,5614,37.5,1322,1038,80.9,271.0,6252,483.4,3236,3162,733.5,1752,7239,6.5,155.9,180.6,138.7,394.1,2895,13.9,564.8,438.7,318.7,781.5,6709,5.2,327.8,158.9,113.2,264.5,6397,141.1,2116,1798,1190,2500,7859,36.1,421.2,395.8,16.2,42.4,3056,43.0,1291,818.7,37.1,95.0,5501,12.3,402.1,266.8,63.0,130.4,7053,298.6,2865,2351,109.7,300.6,3126,1118,3667,2331,664.4,1279,5094,1078,4232,5853,1455,2331,7239,777.1,4105,4232,1809,2958,6877,938.9,4232,4045,648.8,1015,3354
2025-04-03,芦屋,3,3連単,13.3,118.8,35.9,990.2,178.4,291.4,74.0,593.3,38.1,500.1,58.9,140.9,26.8,214.8,11.3,555.8,323.3,621.7,56.9,400.8,27.6,795.3,114.0,187.4,7.8,256.7,151.9,1790,458.6,672.0,15.6,1230,551.7,2034,545.7,908.9,4.6,529.3,225.1,1643,2034,1904,14.6,961.6,351.4,1941,837.7,1154,123.9,1359,137.2,628.2,87.6,217.3,63.8,2076,455.8,1929,354.3,651.5,107.8,2451,174.5,766.8,565.3,967.8,161.3,2623,248.8,1159,198.0,322.2,33.5,602.9,27.7,669.0,697.1,1397,12.5,795.3,111.3,1473,2492,2556,86.0,1256,137.0,840.0,934.5,1812,35.9,1410,67.0,934.5,852.0,1748,96.9,1371,94.4,1487,194.1,294.6,49.9,1834,348.9,2411,595.7,869.3,215.1,2875,410.7,1993,227.4,350.1,71.2,1880,140.9,1480,808.2,1099
2025-04-03,芦屋,4,3連単,13.5,103.3,143.6,20.4,511.4,789.6,6.5,56.9,61.1,26.9,635.6,1158,36.8,268.9,264.0,27.1,322.1,645.5,101.8,411.4,380.8,61.3,793.4,1629,16.8,306.4,359.8,56.5,1048,1319,8.7,297.1,317.2,109.6,1329,1888,38.9,972.1,913.3,123.4,986.5,1259,98.9,1273,1115,185.9,1955,2426,6.1,124.0,109.1,71.1,1298,1921,7.2,249.9,247.5,141.9,1978,2518,18.1,510.6,366.1,192.3,1226,1490,44.3,650.6,518.6,259.7,2866,3196,113.0,983.6,732.2,45.7,316.0,755.5,121.5,1525,1187,91.6,529.3,1174,81.3,808.9,742.1,132.2,650.6,1249,271.6,2617,1408,107.5,548.6,1590,334.8,1532,1504,178.4,1806,2659,354.8,2462,2518,300.0,2462,3777,192.1,1836,1278,392.5,2890,4208,533.6,3324,2518,257.5,1408,1978
2025-04-03,芦屋,5,3連単,7.8,28.5,75.3,114.6,83.9,748.7,15.3,40.8,85.8,159.3,119.4,990.1,9.0,31.6,84.0,167.3,82.5,903.0,56.7,127.3,225.0,373.6,213.8,1063,10.7,55.4,112.0,156.4,120.5,1050,18.6,64.3,111.1,188.1,184.0,1306,13.4,65.9,133.5,232.7,115.8,1032,61.0,197.7,318.9,491.0,310.9,1485,32.1,104.7,196.7,303.8,217.6,1522,42.2,121.8,196.9,283.0,266.0,1727,41.0,153.5,226.4,423.3,192.2,1503,122.2,311.9,495.0,828.1,558.9,2205,19.0,72.8,159.1,238.5,135.0,1230,27.0,106.5,204.1,276.4,150.3,1218,27.6,109.9,171.1,387.3,216.5,1619,89.7,266.8,471.6,435.1,200.6,1403,165.8,392.3,628.3,909.9,433.5,1306,216.9,571.4,847.6,887.4,533.2,1744,173.7,447.0,663.1,1194,696.5,1953,209.9,575.9,905.3,870.2,300.5,1141
2025-04-03,芦屋,6,3連単,24.6,40.9,85.4,1591,15.2,399.5,218.4,412.3,840.6,1867,33.5,783.0,14.4,20.5,62.4,1482,341.2,2589,67.4,82.9,208.3,2589,35.7,351.8,27.5,67.9,111.9,2232,14.6,392.3,229.8,444.3,716.5,1703,17.7,622.4,26.4,32.5,48.9,1529,223.2,1867,101.1,143.9,154.3,2898,19.7,164.8,534.9,1149,1591,2065,64.3,1067,505.7,1142,1358,1591,35.9,683.7,706.1,1006,1849,2311,505.7,3807,1814,2110,3348,3664,59.7,419.4,14.0,18.4,71.3,2065,990.8,3734,24.4,19.4,40.6,2065,749.8,3734,343.7,230.9,916.0,2735,1236,3467,47.2,29.6,77.0,2624,713.9,2311,124.1,212.0,451.6,4516,38.3,232.5,210.1,288.5,273.5,4131,26.9,136.5,1261,1529,2660,5248,60.1,294.2,111.2,103.9,182.1,2942,217.7,1229
2025-04-03,芦屋,7,3連単,6.0,14.2,24.3,357.8,62.4,1021,32.1,87.5,79.9,294.7,56.6,1049,14.3,32.2,29.8,250.9,184.0,2505,72.8,129.8,101.3,550.7,139.6,1894,7.5,34.2,41.9,459.5,95.6,1827,28.5,144.7,170.1,442.5,83.1,1194,10.1,52.9,60.2,408.7,297.5,2465,55.6,169.1,208.2,821.7,217.8,2098,91.3,320.2,171.0,439.9,80.9,1438,87.7,322.2,217.8,502.6,83.1,1537,118.2,450.2,176.9,447.6,272.9,1652,240.8,913.6,445.0,887.5,226.4,1827,33.2,104.2,53.3,245.7,262.8,2546,24.8,89.9,65.6,311.8,309.4,2876,98.7,335.4,152.8,386.3,387.3,2157,117.2,303.9,169.9,348.2,352.1,2546,303.3,736.1,375.1,867.7,244.2,1966,252.1,628.8,575.2,1028,280.8,1745,505.9,1522,983.0,1294,340.6,1688,349.0,872.5,451.5,792.4,599.6,1991
2025-04-03,芦屋,8,3連単,18.8,69.8,149.5,80.2,559.5,88.0,14.8,42.9,98.6,151.0,564.2,89.6,52.1,125.5,198.3,205.4,435.5,51.0,20.4,45.9,80.1,73.9,303.4,135.1,24.5,151.1,219.5,100.6,651.7,120.4,24.1,121.7,178.9,135.1,674.5,144.5,50.5,216.0,323.8,193.6,456.9,74.3,24.0,108.9,155.3,50.0,367.2,180.6,20.4,78.6,182.4,249.4,741.4,141.3,41.0,113.5,207.8,244.0,715.8,164.8,93.6,150.2,249.9,387.8,496.6,74.8,25.6,42.9,89.5,129.5,314.4,157.7,129.2,322.3,390.6,255.3,488.4,74.9,136.4,386.7,331.4,226.9,450.8,72.8,138.0,300.4,264.9,401.1,511.7,76.9,84.7,201.9,178.1,123.6,199.0,87.0,33.5,107.0,130.1,83.3,297.7,213.6,36.0,125.1,149.2,55.4,312.9,220.0,31.1,61.0,78.8,97.6,269.4,193.7,71.7,169.3,176.0,103.3,148.2,102.7
2025-04-03,芦屋,9,3連単,9.1,67.7,232.9,59.4,237.8,452.4,5.5,38.0,211.6,173.1,473.9,668.6,12.1,61.1,258.9,89.9,295.8,597.3,14.7,69.1,258.6,97.3,255.3,807.5,16.1,216.2,376.1,96.5,418.5,715.1,17.6,329.1,471.8,388.5,1250,1351,26.3,398.2,602.9,246.8,746.9,1190,35.3,453.0,571.6,222.7,626.6,1540,8.7,91.3,322.5,352.0,1077,1119,19.5,283.5,540.6,599.5,1812,1898,19.5,260.8,764.9,793.4,1956,1323,25.9,259.5,566.5,532.4,1185,2416,34.4,226.2,565.5,135.7,395.2,799.4,66.2,653.6,987.5,237.8,731.5,1181,48.8,445.4,1063,678.6,1307,1147,52.5,422.4,839.3,200.8,485.4,1518,60.6,322.1,657.6,241.2,531.6,1147,124.7,898.4,1127,332.2,846.0,1443,86.5,605.2,1028,604.1,1099,2018,95.9,685.9,1312,348.5,759.4,1511
2025-04-03,芦屋,10,3連単,15.4,124.9,216.3,37.1,186.2,1489,7.9,68.1,110.1,64.7,233.5,1829,15.3,108.0,154.8,21.4,95.6,1526,110.4,389.7,301.3,105.8,287.7,2338,22.1,401.6,553.1,106.5,424.6,2799,11.2,493.9,518.9,304.8,1093,2842,23.1,634.8,664.5,132.4,508.9,3622,118.5,1282,1319,409.6,1055,4016,7.5,132.1,177.9,173.9,632.6,2757,11.6,381.7,443.0,412.3,1454,3298,7.4,251.3,236.2,215.3,810.2,3298,61.9,813.8,786.1,727.3,1965,3694,29.2,366.5,455.0,33.9,99.2,1378,34.4,786.1,967.2,77.8,268.9,2842,20.1,453.9,490.0,149.1,413.2,3298,121.3,1301,1301,94.6,288.6,1793,466.5,1885,1965,383.2,982.6,2030,444.0,2309,3028,691.9,1539,3694,314.7,2099,2757,1126,1759,3358,393.9,2799,2842,394.7,1055,2075
